K=[abcd], qubit, qumode, single_gate, two_gate, total_gate, depth, latency
[-0+3+1-0], 42, 2, 800, 148, 948, 434, 3170
[-0+3-0+1], 42, 2, 800, 148, 948, 434, 3170
[-0+1+3-0], 42, 2, 800, 148, 948, 434, 3170
[-0+1-0+3], 42, 2, 800, 148, 948, 434, 3170
[-0-0+3+1], 42, 2, 800, 148, 948, 434, 3170
[-0-0+1+3], 42, 2, 800, 148, 948, 434, 3170

[-3+1-0-0], 42, 2, 798, 150, 948, 434, 3170
[-3-0+1-0], 42, 2, 798, 150, 948, 434, 3170
[-3-0-0+1], 42, 2, 798, 150, 948, 434, 3170
[+1-3-0-0], 42, 2, 798, 150, 948, 434, 3170
[+1-0-3-0], 42, 2, 798, 150, 948, 434, 3170
[+1-0-0-3], 42, 2, 798, 150, 948, 434, 3170
[-0-3+1-0], 42, 2, 798, 150, 948, 434, 3170
[-0-3-0+1], 42, 2, 798, 150, 948, 434, 3170
[-0+1-3-0], 42, 2, 798, 150, 948, 434, 3170
[-0+1-0-3], 42, 2, 798, 150, 948, 434, 3170
[-0-0-3+1], 42, 2, 798, 150, 948, 434, 3170
[-0-0+1-3], 42, 2, 798, 150, 948, 434, 3170
[+3-1-0-0], 42, 2, 798, 150, 948, 434, 3170
[+3-0-1-0], 42, 2, 798, 150, 948, 434, 3170
[+3-0-0-1], 42, 2, 798, 150, 948, 434, 3170
[-1+3-0-0], 42, 2, 798, 150, 948, 434, 3170
[-1-0+3-0], 42, 2, 798, 150, 948, 434, 3170
[-1-0-0+3], 42, 2, 798, 150, 948, 434, 3170
[-0+3-1-0], 42, 2, 798, 150, 948, 434, 3170
[-0+3-0-1], 42, 2, 798, 150, 948, 434, 3170
[-0-1+3-0], 42, 2, 798, 150, 948, 434, 3170
[-0-1-0+3], 42, 2, 798, 150, 948, 434, 3170
[-0-0+3-1], 42, 2, 798, 150, 948, 434, 3170
[-0-0-1+3], 42, 2, 798, 150, 948, 434, 3170

[-4-0-0-0], 42, 1, 800, 148, 948, 447, 3259
[-0-4-0-0], 42, 1, 800, 148, 948, 447, 3259
[-0-0-4-0], 42, 1, 800, 148, 948, 447, 3259
[-0-0-0-4], 42, 1, 800, 148, 948, 447, 3259
[+4-0-0-0], 42, 1, 800, 148, 948, 447, 3259
[-0+4-0-0], 42, 1, 800, 148, 948, 447, 3259
[-0-0+4-0], 42, 1, 800, 148, 948, 447, 3259
[-0-0-0+4], 42, 1, 800, 148, 948, 447, 3259

[-1-1-3-0]previous, 107, 3, 1848, 476, 2324, 827, 7363

[-4+1-0-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-4-0+1-0], 170, 2, 3230, 598, 3828, 1778, 13026
[-4-0-0+1], 170, 2, 3230, 598, 3828, 1778, 13026
[+1-4-0-0], 170, 2, 3230, 598, 3828, 1778, 13026
